PlateID,Row,Column,Organism,Species,Genotype,Tissue,Comments
3,A,3,Cassava,Manihot Mill.,DS120xT14_209,leaf,none
3,B,3,Cassava,Manihot Mill.,DS120xT14_210,leaf,none
3,C,3,Cassava,Manihot Mill.,DS120xT14_211,leaf,none
3,D,3,Cassava,Manihot Mill.,DS120xT14_212,leaf,none
3,E,3,Cassava,Manihot Mill.,DS120xT14_213,leaf,none
3,F,3,Cassava,Manihot Mill.,DS120xT14_214,leaf,none
3,G,3,Cassava,Manihot Mill.,DS120xT14_215,leaf,none
3,H,3,Cassava,Manihot Mill.,DS120xT14_216,leaf,none
3,A,4,Cassava,Manihot Mill.,DS120xT14_217,leaf,none
3,B,4,Cassava,Manihot Mill.,DS120xT14_218,leaf,none
3,C,4,Cassava,Manihot Mill.,DS120xT14_219,leaf,none
3,D,4,Cassava,Manihot Mill.,DS120xT14_220,leaf,none
3,E,4,Cassava,Manihot Mill.,DS120xT14_221,leaf,none
3,F,4,Cassava,Manihot Mill.,DS120xT14_222,leaf,none
3,G,4,Cassava,Manihot Mill.,DS120xT14_223,leaf,none
3,H,4,Cassava,Manihot Mill.,DS120xT14_224,leaf,none
3,A,5,Cassava,Manihot Mill.,DS120xT14_225,leaf,none
3,B,5,Cassava,Manihot Mill.,DS120xT14_226,leaf,none
3,C,5,Cassava,Manihot Mill.,DS120xT14_227,leaf,none
3,D,5,Cassava,Manihot Mill.,DS120xT14_228,leaf,none
3,E,5,Cassava,Manihot Mill.,DS120xT14_229,leaf,none
3,F,5,Cassava,Manihot Mill.,DS120xT14_230,leaf,none
3,G,5,Cassava,Manihot Mill.,DS120xT14_231,leaf,none
3,H,5,Cassava,Manihot Mill.,DS120xT14_232,leaf,none
3,A,6,Cassava,Manihot Mill.,DS120xT14_233,leaf,none
3,B,6,Cassava,Manihot Mill.,DS120xT14_234,leaf,none
3,C,6,Cassava,Manihot Mill.,DS120xT14_235,leaf,none
3,D,6,Cassava,Manihot Mill.,DS120xT14_236,leaf,none
3,E,6,Cassava,Manihot Mill.,DS120xT14_237,leaf,none
3,F,6,Cassava,Manihot Mill.,DS120xT14_238,leaf,none
3,G,6,Cassava,Manihot Mill.,DS120xT14_239,leaf,none
3,H,6,Cassava,Manihot Mill.,DS120xT14_240,leaf,none
3,A,7,Cassava,Manihot Mill.,DS120xT14_241,leaf,none
3,B,7,Cassava,Manihot Mill.,DS120xT14_242,leaf,none
3,C,7,Cassava,Manihot Mill.,DS120xT14_243,leaf,none
3,D,7,Cassava,Manihot Mill.,DS260xT14_1,leaf,none
3,E,7,Cassava,Manihot Mill.,DS260xT14_2,leaf,none
3,F,7,Cassava,Manihot Mill.,DS260xT14_3,leaf,none
3,G,7,Cassava,Manihot Mill.,DS260xT14_4,leaf,none
3,H,7,Cassava,Manihot Mill.,DS260xT14_5,leaf,none
3,A,8,Cassava,Manihot Mill.,DS260xT14_6,leaf,none
3,B,8,Cassava,Manihot Mill.,DS260xT14_7,leaf,none
3,C,8,Cassava,Manihot Mill.,DS260xT14_8,leaf,none
3,D,8,Cassava,Manihot Mill.,DS260xT14_9,leaf,none
3,E,8,Cassava,Manihot Mill.,DS260xT14_10,leaf,none
3,F,8,Cassava,Manihot Mill.,DS260xT14_11,leaf,none
3,G,8,Cassava,Manihot Mill.,DS260xT14_12,leaf,none
3,H,8,Cassava,Manihot Mill.,DS260xT14_13,leaf,none
3,A,9,Cassava,Manihot Mill.,DS260xT14_14,leaf,none
3,B,9,Cassava,Manihot Mill.,DS260xT14_15,leaf,none
3,C,9,Cassava,Manihot Mill.,DS260xT14_16,leaf,none
3,D,9,Cassava,Manihot Mill.,DS260xT14_17,leaf,none
3,E,9,Cassava,Manihot Mill.,DS260xT14_18,leaf,none
3,F,9,Cassava,Manihot Mill.,DS260xT14_19,leaf,none
3,G,9,Cassava,Manihot Mill.,DS260xT14_20,leaf,none
3,H,9,Cassava,Manihot Mill.,DS260xT14_21,leaf,none
3,A,10,Cassava,Manihot Mill.,DS260xT14_22,leaf,none
3,B,10,Cassava,Manihot Mill.,DS260xT14_23,leaf,none
3,C,10,Cassava,Manihot Mill.,DS260xT14_24,leaf,none
3,D,10,Cassava,Manihot Mill.,DS260xT14_25,leaf,none
3,E,10,Cassava,Manihot Mill.,DS260xT14_26,leaf,none
3,F,10,Cassava,Manihot Mill.,DS260xT14_27,leaf,none
3,G,10,Cassava,Manihot Mill.,DS260xT14_28,leaf,none
3,H,10,Cassava,Manihot Mill.,DS260xT14_29,leaf,none
3,A,11,Cassava,Manihot Mill.,DS260xT14_30,leaf,none
3,B,11,Cassava,Manihot Mill.,DS260xT14_31,leaf,none
3,C,11,Cassava,Manihot Mill.,DS260xT14_32,leaf,none
3,D,11,Cassava,Manihot Mill.,DS260xT14_33,leaf,none
3,E,11,Cassava,Manihot Mill.,DS260xT14_34,leaf,none
3,F,11,Cassava,Manihot Mill.,DS260xT14_35,leaf,none
3,G,11,Cassava,Manihot Mill.,DS260xT14_36,leaf,none
3,H,11,Cassava,Manihot Mill.,DS260xT14_37,leaf,none
3,A,12,Cassava,Manihot Mill.,DS260xT14_38,leaf,none
3,B,12,Cassava,Manihot Mill.,DS260xT14_39,leaf,none
3,C,12,Cassava,Manihot Mill.,DS260xT14_40,leaf,none
3,D,12,Cassava,Manihot Mill.,DS260xT14_41,leaf,none
3,E,12,Cassava,Manihot Mill.,DS260xT14_42,leaf,none
3,F,12,Cassava,Manihot Mill.,DS260xT14_43,leaf,none
4,A,1,Cassava,Manihot Mill.,DS260xT14_48,leaf,none
4,B,1,Cassava,Manihot Mill.,DS260xT14_49,leaf,none
4,C,1,Cassava,Manihot Mill.,DS260xT14_50,leaf,none
4,D,1,Cassava,Manihot Mill.,DS260xT14_51,leaf,none
4,E,1,Cassava,Manihot Mill.,DS260xT14_52,leaf,none
4,F,1,Cassava,Manihot Mill.,DS260xT14_53,leaf,none
4,G,1,Cassava,Manihot Mill.,DS260xT14_54,leaf,none
4,H,1,Cassava,Manihot Mill.,DS260xT14_55,leaf,none
4,A,2,Cassava,Manihot Mill.,DS260xT14_56,leaf,none
4,B,2,Cassava,Manihot Mill.,DS260xT14_57,leaf,none
4,C,2,Cassava,Manihot Mill.,DS260xT14_58,leaf,none
4,D,2,Cassava,Manihot Mill.,DS260xT14_59,leaf,none
4,E,2,Cassava,Manihot Mill.,DS260xT14_60,leaf,none
4,F,2,Cassava,Manihot Mill.,DS260xT14_61,leaf,none
4,G,2,Cassava,Manihot Mill.,DS260xT14_62,leaf,none
4,H,2,Cassava,Manihot Mill.,DS260xT14_63,leaf,none
4,A,3,Cassava,Manihot Mill.,DS260xT14_64,leaf,none
4,B,3,Cassava,Manihot Mill.,DS260xT14_65,leaf,none
4,C,3,Cassava,Manihot Mill.,DS258xT14_1,leaf,none
4,D,3,Cassava,Manihot Mill.,DS258xT14_2,leaf,none
4,E,3,Cassava,Manihot Mill.,DS258xT14_3,leaf,none
4,F,3,Cassava,Manihot Mill.,DS258xT14_4,leaf,none
4,G,3,Cassava,Manihot Mill.,DS258xT14_5,leaf,none
4,H,3,Cassava,Manihot Mill.,DS258xT14_6,leaf,none
4,A,4,Cassava,Manihot Mill.,DS258xT14_7,leaf,none
4,B,4,Cassava,Manihot Mill.,DS258xT14_8,leaf,none
4,C,4,Cassava,Manihot Mill.,DS258xT14_9,leaf,none
4,D,4,Cassava,Manihot Mill.,DS258xT14_10,leaf,none
4,E,4,Cassava,Manihot Mill.,DS258xT14_11,leaf,none
4,F,4,Cassava,Manihot Mill.,DS258xT14_12,leaf,none
4,G,4,Cassava,Manihot Mill.,DS258xT14_13,leaf,none
4,H,4,Cassava,Manihot Mill.,DS258xT14_14,leaf,none
4,A,5,Cassava,Manihot Mill.,DS258xT14_15,leaf,none
4,B,5,Cassava,Manihot Mill.,DS258xT14_16,leaf,none
4,C,5,Cassava,Manihot Mill.,DS258xT14_17,leaf,none
4,D,5,Cassava,Manihot Mill.,DS258xT14_18,leaf,none
4,E,5,Cassava,Manihot Mill.,DS258xT14_19,leaf,none
4,F,5,Cassava,Manihot Mill.,DS258xT14_20,leaf,none
4,G,5,Cassava,Manihot Mill.,DS258xT14_21,leaf,none
4,H,5,Cassava,Manihot Mill.,DS258xT14_22,leaf,none
4,A,6,Cassava,Manihot Mill.,DS258xT14_23,leaf,none
4,B,6,Cassava,Manihot Mill.,DS258xT14_24,leaf,none
4,C,6,Cassava,Manihot Mill.,DS258xT14_25,leaf,none
4,D,6,Cassava,Manihot Mill.,DS258xT14_26,leaf,none
4,E,6,Cassava,Manihot Mill.,DS258xT14_27,leaf,none
4,F,6,Cassava,Manihot Mill.,DS258xT14_28,leaf,none
4,G,6,Cassava,Manihot Mill.,DS258xT14_29,leaf,none
4,H,6,Cassava,Manihot Mill.,DS258xT14_30,leaf,none
4,A,7,Cassava,Manihot Mill.,DS258xT14_31,leaf,none
4,B,7,Cassava,Manihot Mill.,DS258xT14_32,leaf,none
4,C,7,Cassava,Manihot Mill.,DS258xT14_33,leaf,none
4,D,7,Cassava,Manihot Mill.,DS258xT14_34,leaf,none
4,E,7,Cassava,Manihot Mill.,DS258xT14_35,leaf,none
4,F,7,Cassava,Manihot Mill.,DS258xT14_36,leaf,none
4,G,7,Cassava,Manihot Mill.,DS258xT14_37,leaf,none
4,H,7,Cassava,Manihot Mill.,DS258xT14_38,leaf,none
4,A,8,Cassava,Manihot Mill.,DS258xT14_39,leaf,none
4,B,8,Cassava,Manihot Mill.,DS258xT14_40,leaf,none
4,C,8,Cassava,Manihot Mill.,DS258xT14_41,leaf,none
4,D,8,Cassava,Manihot Mill.,DS120xT14_246,leaf,none
4,E,8,Cassava,Manihot Mill.,DS120xT14_247,leaf,none
4,F,8,Cassava,Manihot Mill.,DS120xT14_248,leaf,none
4,G,8,Cassava,Manihot Mill.,DS120xT14_249,leaf,none
4,H,8,Cassava,Manihot Mill.,DS120xT14_250,leaf,none
4,A,9,Cassava,Manihot Mill.,DS120xT14_251,leaf,none
4,B,9,Cassava,Manihot Mill.,DS120xT14_252,leaf,none
4,C,9,Cassava,Manihot Mill.,DS120xT14_253,leaf,none
4,D,9,Cassava,Manihot Mill.,DS120xT14_254,leaf,none
4,E,9,Cassava,Manihot Mill.,DS120xT14_255,leaf,none
4,F,9,Cassava,Manihot Mill.,DS120xT14_256,leaf,none
4,G,9,Cassava,Manihot Mill.,DS251xT14_6,leaf,none
4,H,9,Cassava,Manihot Mill.,DS251xT14_7,leaf,none
4,A,10,Cassava,Manihot Mill.,DS272xT14_20,leaf,none
4,B,10,Cassava,Manihot Mill.,DS272xT14_21,leaf,none
4,C,10,Cassava,Manihot Mill.,DS120xT14_95,leaf,none
4,D,10,Cassava,Manihot Mill.,DS120xT14_96,leaf,none
4,E,10,Cassava,Manihot Mill.,DS120xT14_191,leaf,none
4,F,10,Cassava,Manihot Mill.,DS120xT14_192,leaf,none
4,G,10,Cassava,Manihot Mill.,DS260xT14_44,leaf,none
4,H,10,Cassava,Manihot Mill.,DS260xT14_45,leaf,none
4,A,11,Cassava,Manihot Mill.,DSC120,leaf,none
4,B,11,Cassava,Manihot Mill.,DSC260,leaf,none
4,C,11,Cassava,Manihot Mill.,DSC258,leaf,none
4,D,11,Cassava,Manihot Mill.,TME14,leaf,none
